ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCCBSPO23N000000111,비에도 지지않고,북카페,일반서적,11419,경기 양주시 광적면 가래비길 79 스마일 꽈배기(비에도 지지않고),37.8236910216925,126.98462103332,13:00,22:00,13:00,22:00,13:00,22:00,,,월요일,050713419726,책과 커피를 즐길 수 있는 공간입니다. 구매 원하시는 책 있으시면 입고해드립니다!책 출고 소요기간:익일에서 사흘 정도영업시간 13:00 ~22:00매주 월요일 휴무 무인커피는 연중무휴 24시간 즐기실 수 있습니다!,
KCCBSPO23N000000112,홍문당서적용암점,북카페,일반서적,28776,충북 청주시 상당구 월평로 172,36.6105866102036,127.503559594267,9:30,23:00,10:00,22:00,10:00,22:00,,,,0432943796,,
KCCBSPO23N000000113,"서사, 당신의 서재",북카페,일반서적,06567,서울 서초구 동작대로 138 2층,37.4889521842247,126.982754111556,11:00,22:00,11:00,22:00,,,,,일요일,,일과 삶의 맥락을 찾는 서점 및 북카페입니다.,
KCCBSPO23N000000114,종로서적 미사현대점,북카페,일반서적,12925,"경기 하남시 미사대로 520 현대지식산업센터 한강미사2차 C,D동 지하2층",37.5588264366331,127.204686431376,11:00,20:00,11:00,20:00,11:00,20:00,,,,03180184591,"종로서적 미사 현대점은 영화관과 연결된 향기로운 커피 향이 어우러지는 공간으로 어린이들이 즐겁게 읽을 수 있는 도서, 다양한 학습지, 베스트셀러와 신간, 문구 팬시로 구성되어 있습니다.커피한잔의 여유와 함께 독서의 즐거움을 누려보세요.",
KCCBSPO23N000000115,오래책방,북카페,일반서적,18474,경기 화성시 동탄치동천로3길 20 102호,37.2036868372439,127.122509264061,10:00,19:00,12:00,18:00,,,,,일요일,,북카페 독서모임 글쓰기모임 북키핑 책구매시 음료할인 책방지기의 큐레이팅 도서,
KCCBSPO23N000000116,책방 문,북카페,일반서적,27638,충북 음성군 금왕읍 대금로 1434-10 문카페(책방문),36.9873346136673,127.591568899566,11:00,18:00,11:00,18:00,11:00,18:00,,,월요일,,,
KCCBSPO23N000000117,"책방, 잇다",북카페,일반서적,32547,충남 공주시 웅진로 145-1 1층,36.4533337206135,127.124147005531,11:30,20:00,11:30,20:00,11:30,20:00,,,월요일,050713264886,"공주 원도심 '잠자리가 놀다간 골목'에 있는 작은 동네 책방으로,책 / 커피 / 차가 있는 공간입니다.책방지기가 큐레이션한 책들과 함께 편안하게 머물며 사유의 시간을 가져보세요.",
KCCBSPO23N000000118,시간여행자의책방,북카페,일반서적,54023,전북 군산시 월명로 487-2,35.9844368113514,126.707497619667,13:00,20:00,12:00,19:00,,,,,"일요일, 월요일",,,
KCCBSPO23N000000119,경험서재,북카페,일반서적,04107,서울 마포구 백범로 35 서강대학교 곤자가홀 1층 (공차 우측 외부에 있어요),37.5514649610226,126.942979960696,11:00,19:00,11:00,19:00,,,,,"일요일, 월요일",050713727932,"경험서재는 서강대학교 캠퍼스 내에 있는 독립서점입니다. 좋은 경험을 만들고, 나누고, 수집하기 위해 국내 대표적 디자인/비즈니스 전문 출판사 유엑스리뷰가 만든 공간입니다.북 큐레이터가 엄선한 다양한 분야의 책들이 있고, 독서하기 좋은 북카페 공간도 마련돼 있어요! 구입하신 책은 서점에서 읽고 갈 수 있습니다^^ 서강대 학생은 물론 동네 주민들, 책을 좋아하는 분들 모두 환영합니다!",
KCCBSPO23N000000120,읽다익다 책방 북카페,북카페,일반서적,42287,대구 수성구 고산로4안길 33-10 1층 읽다익다 책방 북카페,35.8310568214634,128.704379408972,12:00,18:00,10:30,18:00,,,,,"목요일, 일요일",050714161125,,
